matric,department,level,semester,sgpa,tup,tuf,status,risk_probability,risk_tier
24/CYB/001,Cybersecurity,100,1,4.636363636363637,22,0,GS,0.0005129461,Low
24/CYB/002,Cybersecurity,100,1,4.090909090909091,22,0,GS,0.0005129461,Low
24/CYB/004,Cybersecurity,100,1,3.363636363636364,22,0,GS,0.0005129461,Low
24/CYB/005,Cybersecurity,100,1,3.727272727272727,22,0,GS,0.0005129461,Low
24/CYB/006,Cybersecurity,100,1,4.590909090909091,22,0,GS,0.0005129461,Low
24/CYB/008,Cybersecurity,100,1,3.4545454545454546,22,0,GS,0.0005129461,Low
24/CYB/009,Cybersecurity,100,1,3.5,22,0,GS,0.0005129461,Low
24/CYB/010,Cybersecurity,100,1,3.5454545454545454,22,0,GS,0.0005129461,Low
24/CYB/011,Cybersecurity,100,1,4.0,21,1,GS,0.0015156694,Low
24/CYB/012,Cybersecurity,100,1,4.681818181818182,22,0,GS,0.0005129461,Low
24/CYB/013,Cybersecurity,100,1,0.9545454545454546,9,13,GS,0.90930456,High
24/CYB/014,Cybersecurity,100,1,4.409090909090909,22,0,GS,0.0005129461,Low
24/CYB/015,Cybersecurity,100,1,4.954545454545454,22,0,GS,0.0005129461,Low
24/CYB/016,Cybersecurity,100,1,3.954545454545455,22,0,GS,0.0005129461,Low
21/CYB/001,Cybersecurity,400,2,4.388888888888889,18,0,GS,0.0034540338,Low
22/CYB/003,Cybersecurity,400,2,4.052631578947368,19,0,GS,0.0041245893,Low
24/CSC/001,Computer Science,100,2,1.7142857142857142,18,3,GS,0.900015,High
24/CSC/003,Computer Science,100,2,1.9047619047619049,21,0,GS,0.54878205,Medium
24/CSC/004,Computer Science,100,2,3.619047619047619,20,1,GS,0.023226025,Low
24/CSC/005,Computer Science,100,2,2.4761904761904763,18,3,GS,0.004173622,Low
24/CSC/006,Computer Science,100,2,4.428571428571429,21,0,GS,0.003015421,Low
24/CSC/007,Computer Science,100,2,2.380952380952381,18,3,GS,0.004173622,Low
24/CSC/008,Computer Science,100,2,2.857142857142857,21,0,GS,0.003015421,Low
24/CSC/009,Computer Science,100,2,4.238095238095238,20,1,GS,0.023226025,Low
24/CSC/010,Computer Science,100,2,2.9047619047619047,21,0,GS,0.003015421,Low
24/CSC/011,Computer Science,100,2,1.9047619047619049,20,1,NGS,0.9651446,High
24/CSC/012,Computer Science,100,2,4.047619047619048,21,0,GS,0.003015421,Low
24/CSC/013,Computer Science,100,2,3.857142857142857,21,0,GS,0.003015421,Low
24/CSC/014,Computer Science,100,2,4.714285714285714,21,0,GS,0.003015421,Low
24/CSC/015,Computer Science,100,2,3.095238095238096,21,0,GS,0.003015421,Low
24/CSC/018,Computer Science,100,2,2.952380952380953,21,0,GS,0.003015421,Low
24/CSC/019,Computer Science,100,2,4.047619047619048,21,0,GS,0.003015421,Low
24/CSC/021,Computer Science,100,2,3.142857142857143,19,2,GS,0.015683526,Low
24/CSC/022,Computer Science,100,2,2.380952380952381,19,2,GS,0.015683526,Low
24/CSC/023,Computer Science,100,2,3.761904761904762,21,0,GS,0.003015421,Low
24/CSC/024,Computer Science,100,2,4.095238095238095,21,0,GS,0.003015421,Low
24/CSC/025,Computer Science,100,2,3.1904761904761907,20,1,GS,0.023226025,Low
24/CSC/026,Computer Science,100,2,4.571428571428571,21,0,GS,0.003015421,Low
24/CSC/027,Computer Science,100,2,3.095238095238096,18,3,GS,0.004173622,Low
24/CSC/028,Computer Science,100,2,4.095238095238095,21,0,GS,0.003015421,Low
24/CSC/029,Computer Science,100,2,3.809523809523809,20,1,GS,0.023226025,Low
24/CSC/031,Computer Science,100,2,3.761904761904762,21,0,GS,0.003015421,Low
24/CSC/032,Computer Science,100,2,4.047619047619048,21,0,GS,0.003015421,Low
24/CSC/033,Computer Science,100,2,3.9047619047619047,21,0,GS,0.003015421,Low
24/CSC/034,Computer Science,100,2,3.6666666666666665,21,0,GS,0.003015421,Low
24/CSC/035,Computer Science,100,2,3.571428571428572,21,0,GS,0.003015421,Low
24/CSC/036,Computer Science,100,2,4.0,21,0,GS,0.003015421,Low
24/CSC/037,Computer Science,100,2,3.761904761904762,18,3,GS,0.004173622,Low
24/CSC/038,Computer Science,100,2,3.1904761904761907,21,0,GS,0.003015421,Low
24/PRE-D/CSC/041,Computer Science,100,2,4.285714285714286,21,0,GS,0.003015421,Low
24/PRE-D/CSC/039,Computer Science,100,2,3.619047619047619,21,0,GS,0.003015421,Low
