sgpa,attendance_rate,quiz_avg,assignment_rate,login_frequency,consecutive_absences,mood_score,late_submission_rate,help_seeking_ratio,peer_interaction_score,material_access_rate,attendance_trend,quiz_score_trend,login_frequency_trend,submission_time_ratio,sgpa_delta,risk_velocity,weekly_checkin_streak,attendance_quiz_combined,sgpa_absence_combined,submission_mood_combined,department,faculty,level,semester,status
3.23,0.632,0.548,0.7,0.685,1,0.838,0.154,0.65,0.451,0.325,0.053,-0.097,0.19,0.697,0.19,-0.0124,0.773,0.404,0.118,0.851,History and International Relations,FAMSS,100,1,GS
2.91,0.599,1.0,1.0,0.986,0,0.79,0.0,0.535,0.429,0.563,0.018,0.123,-0.078,0.295,-0.26,0.0145,0.322,0.45,0.075,0.731,Cybersecurity,FNAS,200,1,GS
2.79,0.051,0.138,0.231,0.076,2,0.352,0.155,0.463,0.546,0.277,-0.359,-0.139,-0.165,0.0,0.15,0.024,0.305,0.132,0.144,0.156,Industrial Chemistry,FNAS,400,1,GS
3.59,0.502,0.708,0.694,0.3,1,0.168,0.125,0.47,0.335,0.731,-0.131,0.245,-0.015,0.301,0.24,0.0115,0.373,0.4,0.017,0.124,Software Engineering,FNAS,100,2,GS
2.46,0.783,0.849,0.619,0.491,2,0.816,0.193,0.317,0.845,0.61,0.161,0.058,0.149,0.671,-0.49,0.0038,0.224,0.709,0.22,0.815,Computer Science,FNAS,100,1,GS
2.95,0.508,0.303,0.508,0.367,0,0.473,0.0,0.336,0.392,0.713,0.209,0.022,0.011,0.377,0.79,-0.1068,0.279,0.217,0.0,0.46,Health Information Management,FBMS,100,1,GS
2.89,0.598,0.31,0.387,0.263,2,0.627,0.204,0.359,0.386,0.47,-0.012,-0.248,-0.027,0.431,0.41,-0.0228,0.0,0.203,0.055,0.617,Public Health,FBMS,100,1,GS
2.89,0.604,0.6,0.382,0.218,1,0.617,0.132,0.375,0.296,0.781,0.076,0.014,0.206,0.541,0.14,-0.098,0.286,0.261,0.103,0.571,Criminology and Security Studies,FAMSS,200,2,GS
2.95,0.543,0.286,0.48,0.354,1,0.279,0.398,0.335,0.184,0.02,-0.092,0.034,-0.04,0.286,-0.52,0.0398,0.244,0.162,0.0,0.112,Computer Engineering,FNAS,100,1,GS
2.68,0.913,0.903,0.837,0.823,1,0.758,0.145,0.381,0.324,0.441,0.085,0.092,-0.139,0.819,0.21,-0.0149,0.18,0.849,0.166,0.479,Mathematics,FNAS,100,2,GS
2.55,0.652,0.636,0.733,0.268,1,0.658,0.243,0.0,0.557,0.87,0.195,0.168,-0.241,0.44,0.14,-0.0387,0.007,0.319,0.041,0.399,Public Health,FBMS,200,1,GS
2.19,0.364,0.461,0.235,0.532,1,0.926,0.299,0.71,0.445,0.406,0.049,-0.147,-0.039,0.112,0.5,-0.0299,0.125,0.0,0.124,0.539,Information Technology,FNAS,400,2,GS
4.07,0.623,0.733,0.744,0.433,0,0.662,0.194,0.163,0.445,0.325,0.114,0.322,-0.064,0.492,0.2,-0.0523,0.668,0.48,0.0,0.498,Physics and Electronics,FNAS,100,2,GS
3.72,0.585,0.643,0.848,0.385,1,0.783,0.109,0.528,0.003,1.0,0.365,-0.062,0.249,0.652,0.08,0.0071,0.094,0.352,0.063,0.75,Computer Science,FNAS,400,2,GS
2.88,0.392,0.179,0.46,0.123,1,0.045,0.531,0.028,0.458,0.086,-0.109,0.072,0.055,0.454,0.08,0.0505,0.247,0.0,0.074,0.155,Computer Science,FNAS,300,1,GS
3.2,0.683,0.653,0.588,0.918,0,0.96,0.178,0.453,0.619,1.0,0.113,0.007,0.029,0.727,0.53,-0.0069,0.348,0.57,0.021,0.759,History and International Relations,FAMSS,200,2,GS
2.64,0.681,0.707,0.727,0.508,1,0.513,0.555,0.564,0.295,0.613,0.08,0.076,-0.097,0.53,-0.05,-0.0071,0.331,0.539,0.0,0.374,Software Engineering,FNAS,300,2,GS
1.44,0.691,0.529,0.658,0.446,1,0.396,0.231,0.544,0.637,0.287,0.136,0.2,0.234,0.458,0.51,-0.0404,0.603,0.526,0.039,0.46,English and Communication,FAMSS,100,1,GS
2.98,0.598,0.541,0.549,0.542,3,0.479,0.174,0.329,0.732,0.641,0.016,0.216,0.11,0.417,0.73,0.0057,0.695,0.276,0.0,0.504,Criminology and Security Studies,FAMSS,100,1,GS
2.79,0.67,0.905,0.554,0.559,0,0.784,0.009,0.851,0.546,0.623,0.001,0.235,0.073,0.526,-0.15,0.0558,0.704,0.612,0.054,0.652,Computer Engineering,FNAS,200,1,GS
3.25,0.581,0.402,0.445,0.464,0,0.181,0.03,0.54,0.748,0.659,0.379,0.239,-0.088,0.361,0.23,-0.0054,0.388,0.298,0.0,0.242,Criminology and Security Studies,FAMSS,200,2,GS
2.43,0.497,0.209,0.604,0.55,0,0.597,0.252,0.255,0.657,0.431,0.08,-0.053,-0.061,0.575,-0.03,0.0396,0.519,0.016,0.0,0.346,Accounting,FAMSS,100,2,GS
2.78,0.46,0.788,0.709,0.715,2,0.856,0.195,0.41,0.279,0.715,0.101,0.324,0.288,0.476,0.21,0.0248,1.0,0.335,0.038,0.596,Information Technology,FNAS,200,1,GS
2.38,0.501,0.726,0.47,0.44,0,0.965,0.286,0.251,0.623,0.734,-0.175,0.193,0.214,0.091,0.45,-0.0128,0.68,0.449,0.0,0.582,Doctor of Physiotherapy,FBMS,200,1,GS
3.21,0.849,0.827,0.779,0.698,0,0.594,0.175,0.754,0.634,0.636,0.127,-0.063,0.036,0.54,0.24,0.0665,0.358,0.723,0.0,0.639,Business Administration,FAMSS,200,1,GS
2.74,0.448,0.339,0.408,0.097,1,0.534,0.585,0.269,0.255,0.606,-0.315,0.058,-0.108,0.484,0.31,0.0046,0.147,0.154,0.089,0.273,Criminology and Security Studies,FAMSS,100,2,GS
2.16,0.488,0.566,0.455,0.331,1,0.078,0.861,0.222,0.401,0.357,0.051,-0.233,-0.131,0.409,-0.05,-0.0706,0.127,0.324,0.0,0.0,Physics and Electronics,FNAS,100,2,NGS
2.24,0.038,0.256,0.162,0.041,1,0.118,0.263,0.038,0.092,0.229,-0.325,-0.051,0.089,0.246,0.27,-0.0295,0.343,0.0,0.135,0.0,Physics and Electronics,FNAS,200,1,NGS
3.11,0.51,0.294,0.793,0.935,0,0.82,0.147,0.46,0.324,0.093,0.016,-0.132,0.212,0.465,-0.02,-0.0385,0.802,0.129,0.0,0.754,Physics and Electronics,FNAS,100,2,GS
2.24,0.627,0.439,0.522,0.605,1,0.612,0.153,0.952,0.281,0.556,-0.115,0.002,0.217,0.501,0.53,0.0074,0.793,0.281,0.011,0.302,Nursing,FBMS,200,1,GS
1.99,0.294,0.08,0.523,0.199,6,0.231,0.419,0.009,0.001,0.309,-0.187,-0.208,-0.001,0.495,-0.39,0.0872,0.514,0.0,0.269,0.055,Mathematics,FNAS,400,1,NGS
